wkt_geom,fid,Height,roof_area,type,province,city,DEM高度,求和高度,经度,纬度
MultiPoint ((113.80619769594159152 22.68422585875684661)),140785,26.517192,72.89,居住用地,广东省,深圳市,1,27.517192,113.8061977,22.68422586
MultiPoint ((113.99418849846307467 22.66500353869780682)),8284,26.526692,539.173,居住用地,广东省,深圳市,65,91.526692,113.9941885,22.66500354
MultiPoint ((113.80481273520672403 22.69937654467474175)),141389,26.527092,448.694,居住用地,广东省,深圳市,5,31.527092,113.8048127,22.69937654
MultiPoint ((113.91772424992366552 22.66453016134801501)),287608,26.568292,192.447,居住用地,广东省,深圳市,50,76.568292,113.9177242,22.66453016
MultiPoint ((113.82134611558382176 22.69300923209454268)),174712,26.580492,300.815,居住用地,广东省,深圳市,1,27.580492,113.8213461,22.69300923
MultiPoint ((113.81359204755808889 22.67448941346105684)),162735,26.603492,20.847,居住用地,广东省,深圳市,19,45.603492,113.813592,22.67448941
MultiPoint ((113.85986966500288986 22.65503357409903984)),238177,26.605992,21.433,居住用地,广东省,深圳市,36,62.605992,113.8598697,22.65503357
MultiPoint ((113.86161128868921821 22.65870851319085233)),241462,26.610292,27.037,居住用地,广东省,深圳市,37,63.610292,113.8616113,22.65870851
MultiPoint ((113.8094861360054324 22.66851974668406555)),151080,26.610892,111.347,医疗卫生用地,广东省,深圳市,-8,18.610892,113.8094861,22.66851975
MultiPoint ((113.94554163096938737 22.67573822154555074)),314105,26.627792,179.023,居住用地,广东省,深圳市,51,77.627792,113.9455416,22.67573822
MultiPoint ((113.82472923849917379 22.66874743456094521)),99244,26.628292,71.901,居住用地,广东省,深圳市,9,35.628292,113.8247292,22.66874743
MultiPoint ((113.99731291290963497 22.66868117819960204)),98301,26.630892,862.666,居住用地,广东省,深圳市,82,108.630892,113.9973129,22.66868118
MultiPoint ((113.80889502419724124 22.68624506824912146)),151613,26.636192,221.948,医疗卫生用地,广东省,深圳市,-2,24.636192,113.808895,22.68624507
MultiPoint ((113.82510081375076538 22.67521333165529285)),182716,26.646892,14.157,居住用地,广东省,深圳市,4,30.646892,113.8251008,22.67521333
MultiPoint ((113.86227021023015027 22.65966833139085779)),241367,26.660492,864.896,居住用地,广东省,深圳市,46,72.660492,113.8622702,22.65966833
MultiPoint ((113.91865863976241258 22.6652060351347906)),287547,26.665592,152.317,居住用地,广东省,深圳市,47,73.665592,113.9186586,22.66520604
MultiPoint ((113.863122186276712 22.65922477078714081)),241348,26.667192,23.132,居住用地,广东省,深圳市,38,64.667192,113.8631222,22.65922477
MultiPoint ((113.92459579286182247 22.69737515935571892)),295876,26.695992,527.793,居住用地,广东省,深圳市,49,75.695992,113.9245958,22.69737516
MultiPoint ((113.85808628471848181 22.65875320137514848)),235297,26.699692,74.696,居住用地,广东省,深圳市,53,79.699692,113.8580863,22.6587532
MultiPoint ((113.81346612304675148 22.6742923166761905)),162725,26.715992,20.504,居住用地,广东省,深圳市,19,45.715992,113.8134661,22.67429232
MultiPoint ((113.9247439335215546 22.6623754179917789)),295145,26.738792,79.254,居住用地,广东省,深圳市,49,75.738792,113.9247439,22.66237542
MultiPoint ((113.82241701710616155 22.66939267686191783)),178791,26.742392,354.724,居住用地,广东省,深圳市,4,30.742392,113.822417,22.66939268
MultiPoint ((113.91488280811641687 22.66745182153634985)),284897,26.749892,2124.22,居住用地,广东省,深圳市,36,62.749892,113.9148828,22.66745182
MultiPoint ((113.8097389814165723 22.66880385861041347)),151131,26.750392,18.033,医疗卫生用地,广东省,深圳市,-6,20.750392,113.809739,22.66880386
MultiPoint ((113.91472907536760317 22.66781345874848341)),89371,26.777792,78.638,居住用地,广东省,深圳市,35,61.777792,113.9147291,22.66781346
MultiPoint ((113.91961501176801619 22.66980138834366443)),289931,26.802192,5613.188,居住用地,广东省,深圳市,63,89.802192,113.919615,22.66980139
MultiPoint ((113.90813892884359859 22.65226805949720656)),278517,26.812392,191.181,居住用地,广东省,深圳市,36,62.812392,113.9081389,22.65226806
MultiPoint ((113.91398261515958268 22.67555858511047973)),282391,26.814892,72.988,居住用地,广东省,深圳市,38,64.814892,113.9139826,22.67555859
MultiPoint ((113.82170586035857696 22.67086342515139918)),174049,26.824392,71.4,居住用地,广东省,深圳市,4,30.824392,113.8217059,22.67086343
MultiPoint ((113.82143391608377669 22.67045912985919287)),174030,26.846292,658.378,居住用地,广东省,深圳市,16,42.846292,113.8214339,22.67045913
MultiPoint ((113.91504921403442552 22.66578135317336162)),284868,26.848492,405.837,居住用地,广东省,深圳市,44,70.848492,113.9150492,22.66578135
MultiPoint ((113.93521950643462048 22.68311420501775899)),308268,26.848992,98.409,居住用地,广东省,深圳市,49,75.848992,113.9352195,22.68311421
MultiPoint ((113.86265388319084479 22.65950852085326517)),241389,26.871692,188.065,居住用地,广东省,深圳市,40,66.871692,113.8626539,22.65950852
MultiPoint ((113.9244705359525085 22.67164188782635037)),295335,26.874192,1120.991,居住用地,广东省,深圳市,40,66.874192,113.9244705,22.67164189
MultiPoint ((113.86444603354519245 22.66283846392619949)),245141,26.874292,160.029,居住用地,广东省,深圳市,51,77.874292,113.864446,22.66283846
MultiPoint ((113.91756091503478387 22.67558785900637019)),287525,26.893092,51.376,居住用地,广东省,深圳市,35,61.893092,113.9175609,22.67558786
MultiPoint ((113.81256981781405102 22.67025206208258581)),158037,26.915892,66.84,医疗卫生用地,广东省,深圳市,2,28.915892,113.8125698,22.67025206
MultiPoint ((113.92955575620354125 22.67327715055987269)),300802,26.918692,210.951,居住用地,广东省,深圳市,41,67.918692,113.9295558,22.67327715
MultiPoint ((113.91712505895077356 22.66285289558042848)),287644,26.922892,274.936,居住用地,广东省,深圳市,52,78.922892,113.9171251,22.6628529
MultiPoint ((113.86191562237350183 22.65834414503306604)),241362,26.923592,293.211,居住用地,广东省,深圳市,38,64.923592,113.8619156,22.65834415
MultiPoint ((113.81019591481928899 22.67264322299991974)),151320,26.961192,213.824,医疗卫生用地,广东省,深圳市,-4,22.961192,113.8101959,22.67264322
MultiPoint ((113.91198171036521103 22.66800421459968007)),280406,26.966292,577.807,居住用地,广东省,深圳市,34,60.966292,113.9119817,22.66800421
MultiPoint ((113.8613660789870039 22.65377417520794978)),238120,26.973792,4700.592,居住用地,广东省,深圳市,28,54.973792,113.8613661,22.65377418
MultiPoint ((113.93988864030939112 22.6789170951505028)),311317,26.977092,22.838,居住用地,广东省,深圳市,45,71.977092,113.9398886,22.6789171
MultiPoint ((113.81340465725172351 22.6745764617729364)),162737,26.982192,16.563,居住用地,广东省,深圳市,16,42.982192,113.8134047,22.67457646
MultiPoint ((113.81425739723560753 22.66930434760390156)),162464,26.985392,24.257,居住用地,广东省,深圳市,7,33.985392,113.8142574,22.66930435
MultiPoint ((113.94294044307116565 22.67606037273734998)),312616,26.998992,62.579,居住用地,广东省,深圳市,46,72.998992,113.9429404,22.67606037
MultiPoint ((113.9178214564161209 22.66495001861711245)),287545,27.006692,403.705,居住用地,广东省,深圳市,51,78.006692,113.9178215,22.66495002
MultiPoint ((113.80969814895961179 22.66882926544268528)),151081,27.026592,79.168,医疗卫生用地,广东省,深圳市,-8,19.026592,113.8096981,22.66882927
MultiPoint ((113.81287448455147171 22.67039014223839999)),157993,27.045192,69.187,医疗卫生用地,广东省,深圳市,8,35.045192,113.8128745,22.67039014
MultiPoint ((113.91251545750328944 22.65265216828266048)),282158,27.067792,1331.589,居住用地,广东省,深圳市,32,59.067792,113.9125155,22.65265217
MultiPoint ((113.80957998436581136 22.66854932087875696)),151129,27.075792,133.829,医疗卫生用地,广东省,深圳市,-8,19.075792,113.80958,22.66854932
MultiPoint ((113.91200604168201949 22.6536278770139603)),280306,27.083392,135.483,居住用地,广东省,深圳市,42,69.083392,113.912006,22.65362788
MultiPoint ((113.98082683496639333 22.69159278529714285)),71738,27.085492,1168.291,居住用地,广东省,深圳市,92,119.085492,113.9808268,22.69159279
MultiPoint ((113.80583126203774214 22.69462780798449586)),141196,27.086492,252.145,居住用地,广东省,深圳市,-1,26.086492,113.8058313,22.69462781
MultiPoint ((113.81187361015683734 22.6708713095197858)),157992,27.093492,33.707,医疗卫生用地,广东省,深圳市,6,33.093492,113.8118736,22.67087131
MultiPoint ((113.81059180736524183 22.67175110612123135)),151324,27.102892,27.838,医疗卫生用地,广东省,深圳市,-2,25.102892,113.8105918,22.67175111
MultiPoint ((113.86299578075345096 22.65925449100618394)),241350,27.108492,22.4,居住用地,广东省,深圳市,38,65.108492,113.8629958,22.65925449
MultiPoint ((113.82460124726362949 22.67651091401906527)),182792,27.126992,20.257,居住用地,广东省,深圳市,12,39.126992,113.8246012,22.67651091
MultiPoint ((113.91315449875061461 22.65157733472076984)),282146,27.136492,1707.565,居住用地,广东省,深圳市,44,71.136492,113.9131545,22.65157733
MultiPoint ((113.92651418857542467 22.68275614080996405)),298039,27.150592,39.144,居住用地,广东省,深圳市,45,72.150592,113.9265142,22.68275614
MultiPoint ((113.92489435347661697 22.68315913105421444)),295570,27.154692,205.007,居住用地,广东省,深圳市,39,66.154692,113.9248944,22.68315913
MultiPoint ((113.86515996942550544 22.66512925260663636)),245193,27.163492,147.421,居住用地,广东省,深圳市,46,73.163492,113.86516,22.66512925
MultiPoint ((113.85789514933738076 22.65568080661726214)),235240,27.175592,62.435,居住用地,广东省,深圳市,41,68.175592,113.8578951,22.65568081
MultiPoint ((113.86189247449547679 22.65995657549972719)),241388,27.182892,222.151,居住用地,广东省,深圳市,43,70.182892,113.8618925,22.65995658
MultiPoint ((113.91403047441106366 22.66166312863935062)),282234,27.189392,1137.415,居住用地,广东省,深圳市,40,67.189392,113.9140305,22.66166313
MultiPoint ((113.92002605144131167 22.67497031711784672)),290001,27.199392,867.081,居住用地,广东省,深圳市,44,71.199392,113.9200261,22.67497032
MultiPoint ((113.94679351958917835 22.67894724736880008)),315864,27.203092,2482.908,居住用地,广东省,深圳市,49,76.203092,113.9467935,22.67894725
MultiPoint ((113.80841741778999676 22.66937266949280527)),145269,27.207392,682.941,居住用地,广东省,深圳市,-2,25.207392,113.8084174,22.66937267
MultiPoint ((113.80892002801166996 22.68606707544651258)),151625,27.210492,43.065,医疗卫生用地,广东省,深圳市,-1,26.210492,113.80892,22.68606708
MultiPoint ((113.81753417206070367 22.66025199204206331)),165798,27.225792,82.443,居住用地,广东省,深圳市,3,30.225792,113.8175342,22.66025199
MultiPoint ((113.92503442729143615 22.68286383774774606)),295529,27.231592,362.25,居住用地,广东省,深圳市,37,64.231592,113.9250344,22.68286384
MultiPoint ((113.94024100938914046 22.67268610597428591)),311154,27.236792,27.023,居住用地,广东省,深圳市,45,72.236792,113.940241,22.67268611
MultiPoint ((113.93471244058528669 22.68302760935613449)),306395,27.237792,88.862,居住用地,广东省,深圳市,45,72.237792,113.9347124,22.68302761
MultiPoint ((113.91414357343651886 22.67584023938535509)),282392,27.258492,350.359,居住用地,广东省,深圳市,39,66.258492,113.9141436,22.67584024
MultiPoint ((113.91703868399601163 22.65169260127413153)),287177,27.263792,137.746,居住用地,广东省,深圳市,37,64.263792,113.9170387,22.6516926
MultiPoint ((113.86310682103209047 22.66376872648347884)),241575,27.264392,16.373,居住用地,广东省,深圳市,49,76.264392,113.8631068,22.66376873
MultiPoint ((113.92433515050902315 22.68381261030601337)),295535,27.267492,40.078,居住用地,广东省,深圳市,31,58.267492,113.9243352,22.68381261
MultiPoint ((113.82588690924141872 22.66979969827632502)),182550,27.272592,771.609,居住用地,广东省,深圳市,9,36.272592,113.8258869,22.6697997
MultiPoint ((113.81854927662944021 22.67108279036567708)),169489,27.273592,110.379,居住用地,广东省,深圳市,13,40.273592,113.8185493,22.67108279
MultiPoint ((113.81131594111067784 22.67217536914404619)),158132,27.280492,15.988,医疗卫生用地,广东省,深圳市,5,32.280492,113.8113159,22.67217537
MultiPoint ((113.91313846790443165 22.65244722753630668)),282157,27.289492,1592.31,居住用地,广东省,深圳市,39,66.289492,113.9131385,22.65244723
MultiPoint ((113.98142848159589846 22.67817618810578395)),330909,27.292092,104.781,居住用地,广东省,深圳市,91,118.292092,113.9814285,22.67817619
MultiPoint ((113.94372093696729564 22.67981997140556771)),312787,27.314692,807.818,居住用地,广东省,深圳市,53,80.314692,113.9437209,22.67981997
MultiPoint ((113.82142698875409792 22.69307847303284831)),174775,27.330792,275.856,居住用地,广东省,深圳市,2,29.330792,113.821427,22.69307847
MultiPoint ((113.91395551535640607 22.66461845372365858)),282267,27.344692,795.798,居住用地,广东省,深圳市,45,72.344692,113.9139555,22.66461845
MultiPoint ((113.82597157643112951 22.66614494000499747)),182473,27.354292,577.642,居住用地,广东省,深圳市,8,35.354292,113.8259716,22.66614494
MultiPoint ((113.9357530657035511 22.68310851208332224)),308181,27.356092,106.946,居住用地,广东省,深圳市,51,78.356092,113.9357531,22.68310851
MultiPoint ((113.9174393117920232 22.66401953925599244)),287618,27.374492,424.858,居住用地,广东省,深圳市,50,77.374492,113.9174393,22.66401954
MultiPoint ((113.86191945582478979 22.6594527373959238)),241469,27.377692,68.931,居住用地,广东省,深圳市,48,75.377692,113.8619195,22.65945274
MultiPoint ((113.92356984761146066 22.66281205187885917)),295183,27.386992,124.516,居住用地,广东省,深圳市,51,78.386992,113.9235698,22.66281205
MultiPoint ((113.94261878726739212 22.67590084296201525)),312655,27.387392,226.51,居住用地,广东省,深圳市,48,75.387392,113.9426188,22.67590084
MultiPoint ((113.8047938301413069 22.699015280584522)),141313,27.400792,51.792,居住用地,广东省,深圳市,7,34.400792,113.8047938,22.69901528
MultiPoint ((113.80031624279195057 22.67177400174364976)),134132,27.403592,389.805,居住用地,广东省,深圳市,-5,22.403592,113.8003162,22.671774
MultiPoint ((113.81318154422277189 22.67050238964965203)),162594,27.414192,37.64,医疗卫生用地,广东省,深圳市,10,37.414192,113.8131815,22.67050239
MultiPoint ((113.82623969984793177 22.669340316675612)),182494,27.417192,91.434,居住用地,广东省,深圳市,15,42.417192,113.8262397,22.66934032
MultiPoint ((113.82251341702702518 22.67147005526667769)),178855,27.417492,60.476,居住用地,广东省,深圳市,7,34.417492,113.8225134,22.67147006
MultiPoint ((113.9157395104408721 22.66070718874449241)),284644,27.418992,526.551,居住用地,广东省,深圳市,44,71.418992,113.9157395,22.66070719
MultiPoint ((113.82451676481849745 22.66679077508199569)),178729,27.423892,34.181,居住用地,广东省,深圳市,21,48.423892,113.8245168,22.66679078
MultiPoint ((113.82258609672447847 22.67283681559404229)),178853,27.426492,85.317,居住用地,广东省,深圳市,9,36.426492,113.8225861,22.67283682
MultiPoint ((113.83829886967848211 22.69005102716762323)),199549,27.431192,222.872,医疗卫生用地,广东省,深圳市,18,45.431192,113.8382989,22.69005103
MultiPoint ((113.80929299500043328 22.66864989229040361)),151099,27.432892,28.043,医疗卫生用地,广东省,深圳市,-11,16.432892,113.809293,22.66864989
MultiPoint ((113.83072649824730149 22.67067895131040345)),188876,27.437992,582.617,居住用地,广东省,深圳市,10,37.437992,113.8307265,22.67067895
MultiPoint ((113.99628159868501598 22.66863930583647502)),100148,27.439692,685.206,居住用地,广东省,深圳市,82,109.439692,113.9962816,22.66863931
MultiPoint ((113.822615038591195 22.67279815447910707)),178874,27.454792,35.231,居住用地,广东省,深圳市,9,36.454792,113.822615,22.67279815
MultiPoint ((113.98333968579329678 22.69081746747187367)),65938,27.456892,2610.545,居住用地,广东省,深圳市,78,105.456892,113.9833397,22.69081747
MultiPoint ((113.92472179811913691 22.6613717966802497)),295149,27.481092,107.02,居住用地,广东省,深圳市,53,80.481092,113.9247218,22.6613718
MultiPoint ((113.94271926818828433 22.67594425679798675)),312643,27.497292,168.223,居住用地,广东省,深圳市,48,75.497292,113.9427193,22.67594426
MultiPoint ((113.82531218078953827 22.67543647920510708)),182627,27.503492,47.611,居住用地,广东省,深圳市,4,31.503492,113.8253122,22.67543648
MultiPoint ((113.8232753065320253 22.69369389895449629)),179462,27.503692,59.317,居住用地,广东省,深圳市,0,27.503692,113.8232753,22.6936939
MultiPoint ((113.91708667596898863 22.65256456120599893)),287198,27.526992,142.043,居住用地,广东省,深圳市,28,55.526992,113.9170867,22.65256456
MultiPoint ((113.8102990249268629 22.67238051019668177)),151317,27.527292,132.336,医疗卫生用地,广东省,深圳市,-3,24.527292,113.810299,22.67238051
MultiPoint ((113.9171605187879095 22.67484493731877038)),287492,27.527692,17.856,居住用地,广东省,深圳市,38,65.527692,113.9171605,22.67484494
MultiPoint ((113.80906265550127898 22.66980407484249938)),118526,27.529292,475.272,居住用地,广东省,深圳市,10,37.529292,113.8090627,22.66980407
MultiPoint ((113.80038572679548281 22.67167702087772341)),134190,27.532692,90.734,居住用地,广东省,深圳市,-4,23.532692,113.8003857,22.67167702
MultiPoint ((113.82257977997888077 22.66948965040863939)),178820,27.539492,32.125,居住用地,广东省,深圳市,3,30.539492,113.8225798,22.66948965
MultiPoint ((113.98012823630496371 22.67751943942983672)),31611,27.547692,141.544,居住用地,广东省,深圳市,90,117.547692,113.9801282,22.67751944
MultiPoint ((113.91517484170944385 22.6515476260839641)),284580,27.553592,160.309,居住用地,广东省,深圳市,41,68.553592,113.9151748,22.65154763
MultiPoint ((113.91318079973416388 22.65465514278773185)),40777,27.565692,161.772,居住用地,广东省,深圳市,51,78.565692,113.9131808,22.65465514
MultiPoint ((113.82494879877178562 22.66916339128419722)),182532,27.578492,46.045,居住用地,广东省,深圳市,3,30.578492,113.8249488,22.66916339
MultiPoint ((113.91151450782031418 22.65138813012113772)),280295,27.581792,89.993,居住用地,广东省,深圳市,42,69.581792,113.9115145,22.65138813
MultiPoint ((113.91818222464841881 22.66552626951191129)),287548,27.585192,302.691,居住用地,广东省,深圳市,51,78.585192,113.9181822,22.66552627
MultiPoint ((113.92391709872431704 22.66087856100914522)),295103,27.590092,1148.105,居住用地,广东省,深圳市,53,80.590092,113.9239171,22.66087856
MultiPoint ((113.91787840252835906 22.66463026437861572)),287574,27.597892,678.118,居住用地,广东省,深圳市,51,78.597892,113.9178784,22.66463026
MultiPoint ((113.86205833541788479 22.66065860186742853)),241483,27.598392,265.674,居住用地,广东省,深圳市,42,69.598392,113.8620583,22.6606586
MultiPoint ((113.86182691594541438 22.66694074183639174)),241728,27.602292,177.824,居住用地,广东省,深圳市,62,89.602292,113.8618269,22.66694074
MultiPoint ((113.92557506265060852 22.65559426730231607)),295074,27.610692,1860.072,居住用地,广东省,深圳市,46,73.610692,113.9255751,22.65559427
MultiPoint ((113.83121705708626337 22.67189446734000313)),188905,27.617192,673.281,居住用地,广东省,深圳市,9,36.617192,113.8312171,22.67189447
MultiPoint ((113.92568958812800872 22.69667750394655314)),295847,27.619192,515.161,居住用地,广东省,深圳市,62,89.619192,113.9256896,22.6966775
MultiPoint ((113.92842673865465031 22.69252630649414115)),301065,27.620592,1434.758,居住用地,广东省,深圳市,50,77.620592,113.9284267,22.69252631
MultiPoint ((113.80949314684391993 22.66834422681336036)),151146,27.625592,137.065,医疗卫生用地,广东省,深圳市,-5,22.625592,113.8094931,22.66834423
MultiPoint ((113.93315549961118904 22.68749650728307543)),306684,27.640792,450.616,居住用地,广东省,深圳市,63,90.640792,113.9331555,22.68749651
MultiPoint ((113.92615439593677706 22.67532805739902457)),298118,27.656092,163.339,居住用地,广东省,深圳市,40,67.656092,113.9261544,22.67532806
MultiPoint ((113.80635433649713661 22.69448938727084908)),146015,27.658592,343.968,居住用地,广东省,深圳市,-1,26.658592,113.8063543,22.69448939
MultiPoint ((113.99007031446819838 22.69313359935905439)),332830,27.669592,3778.488,居住用地,广东省,深圳市,90,117.669592,113.9900703,22.6931336
MultiPoint ((113.91204563333968736 22.65202322918297639)),282151,27.696692,182.645,居住用地,广东省,深圳市,49,76.696692,113.9120456,22.65202323
MultiPoint ((113.91473711907498512 22.66768682214638275)),284919,27.704192,59.39,居住用地,广东省,深圳市,36,63.704192,113.9147371,22.66768682
MultiPoint ((113.82706796301222596 22.66693603251833622)),185682,27.709592,130.814,居住用地,广东省,深圳市,13,40.709592,113.827068,22.66693603
MultiPoint ((113.91978703063649903 22.68782785411111647)),51846,27.711492,188.732,居住用地,广东省,深圳市,40,67.711492,113.919787,22.68782785
MultiPoint ((113.81802882379105313 22.67327711457619799)),8285,27.714892,134.834,居住用地,广东省,深圳市,23,50.714892,113.8180288,22.67327711
MultiPoint ((113.81302261519044805 22.67041546963124432)),157970,27.737392,19.422,医疗卫生用地,广东省,深圳市,10,37.737392,113.8130226,22.67041547
MultiPoint ((113.81175494342876675 22.6710179673799459)),158039,27.739392,20.294,医疗卫生用地,广东省,深圳市,9,36.739392,113.8117549,22.67101797
MultiPoint ((113.91381040282320214 22.67516049017097046)),282362,27.747792,74.485,居住用地,广东省,深圳市,36,63.747792,113.9138104,22.67516049
MultiPoint ((113.82419952527074258 22.6768263658984992)),179210,27.758792,16.779,居住用地,广东省,深圳市,10,37.758792,113.8241995,22.67682637
MultiPoint ((113.82429752776293697 22.67687269734231492)),179220,27.773492,138.981,居住用地,广东省,深圳市,10,37.773492,113.8242975,22.6768727
MultiPoint ((113.81880665721799062 22.6684029361296453)),169413,27.774792,59.147,医疗卫生用地,广东省,深圳市,1,28.774792,113.8188067,22.66840294
